Season,Round,TeamHome,Result,TeamAway,Stadium,Date,Time,Spectators,Referee,YellowCards,RedCards
2016,8,Villarreal ,5 – 0 ,Celta de Vigo ,El Madrigal ,16 de octubre ,20:45 ,18152,Estrada Fernández ,7,0
2016,8,Eibar ,2 – 3 ,Osasuna ,Ipurúa ,17 de octubre ,20:45 ,5250,Melero López ,3,0
2016,9,Osasuna ,1 – 2 ,Betis ,El Sadar ,21 de octubre ,20:45 ,15044,Del Cerro Grande ,5,1
2016,9,Espanyol ,3 – 3 ,Eibar ,RCDE Stadium ,22 de octubre ,13:00 ,17330,Gil Manzano ,9,0
2016,9,Valencia ,2 – 3 ,Barcelona ,Mestalla ,22 de octubre ,16:15 ,46770,Undiano Mallenco ,9,0
2016,9,Real Sociedad ,3 – 0 ,Deportivo Alavés ,Anoeta ,22 de octubre ,18:30 ,24224,Clos Gómez ,8,0
2016,9,Granada ,0 – 0 ,Sporting de Gijón ,Los Cármenes ,22 de octubre ,20:45 ,14622,Vicandi Garrido ,5,0
2016,9,Celta de Vigo ,4 – 1 ,Deportivo de La Coruña ,Balaídos ,23 de octubre ,12:00 ,21024,Álvarez Izquierdo ,8,0
2016,9,Sevilla ,1 – 0 ,Atlético de Madrid ,Sánchez-Pizjuán ,23 de octubre ,16:15 ,34526,Martínez Munuera ,8,0
2016,9,Málaga ,4 – 0 ,Leganés ,La Rosaleda ,23 de octubre ,18:30 ,18991,Trujillo Suárez ,4,0
2016,9,Villarreal ,2 – 1 , Las Palmas ,El Madrigal ,23 de octubre ,18:30 ,18312,Jaime Latre ,5,0
2016,9,Real Madrid ,2 – 1 ,Athletic Club ,Bernabéu ,23 de octubre ,20:45 ,72910,Iglesias Villanueva ,5,0
2016,10,Leganés ,0 – 2 ,Real Sociedad ,Butarque ,28 de octubre ,20:45 ,10922,Hernández Hernández ,7,0
2016,10,Sporting de Gijón ,1 – 1 ,Sevilla ,El Molinón ,29 de octubre ,13:00 ,22803,Iglesias Villanueva ,8,0
2016,10,Deportivo Alavés ,1 – 4 ,Real Madrid ,Mendizorroza ,29 de octubre ,16:15 ,19840,Sánchez Martínez ,6,0
2016,10,Atlético de Madrid ,4 – 2 ,Málaga ,Vicente Calderón ,29 de octubre ,18:30 ,47471,Estrada Fernández ,10,0
2016,10,Barcelona ,1 – 0 ,Granada ,Camp Nou ,29 de octubre ,20:45 ,82914,Martínez Munuera ,5,0
2016,10,Eibar ,2 – 1 ,Villarreal ,Ipurúa ,30 de octubre ,12:00 ,4678,Fernández Borbalán ,5,0
2016,10,Athletic Club ,1 – 1 ,Osasuna ,San Mamés ,30 de octubre ,16:15 ,43696,Munuera Montero ,3,0
2016,10,Betis ,0 – 1 ,Espanyol ,Villamarín ,30 de octubre ,18:30 ,38282,De Burgos Bengoetxea ,6,0
2016,10, Las Palmas ,3 – 3 ,Celta de Vigo ,Gran Canaria ,30 de octubre ,20:45 ,21194,Melero López ,10,0
2016,10,Deportivo de La Coruña ,1 – 1 ,Valencia ,Riazor ,31 de octubre ,20:45 ,23492,González González ,6,0
2016,11,Málaga ,3 – 2 ,Sporting de Gijón ,La Rosaleda ,4 de noviembre ,20:45 ,20316,Gil Manzano ,10,0
2016,11,Granada ,1 – 1 ,Deportivo de La Coruña ,Los Cármenes ,5 de noviembre ,13:00 ,13157,Undiano Mallenco ,3,0
2016,11,Real Sociedad ,2 – 0 ,Atlético de Madrid ,Anoeta ,5 de noviembre ,16:15 ,24048,Álvarez Izquierdo ,6,0
2016,11,Osasuna ,0 – 1 ,Deportivo Alavés ,El Sadar ,5 de noviembre ,18:30 ,15853,Ocón Arráiz ,7,0
2016,11, Las Palmas ,1 – 0 ,Eibar ,Gran Canaria ,5 de noviembre ,20:45 ,19381,Del Cerro Grande ,6,0
2016,11,Real Madrid ,3 – 0 ,Leganés ,Bernabéu ,6 de noviembre ,12:00 ,74269,Mateu Lahoz ,8,0
2016,11,Celta de Vigo ,2 – 1 ,Valencia ,Balaídos ,6 de noviembre ,16:15 ,18251,Clos Gómez ,7,0
