Season,Round,Date,TeamHome,Result,TeamAway,Stadium,Referee
2014,14,06/12/2014,Real Madrid,3-0,Celta de Vigo,Santiago Bernabéu,Undiano Mallenco
2014,14,06/12/2014,Deportivo de La Coruña,0-1,Málaga,Riazor,Gil Manzano
2014,14,07/12/2014,Rayo Vallecano,0-1,Sevilla,Vallecas,Álvarez Izquierdo
2014,14,07/12/2014,Barcelona,5-1,Espanyol,Camp Nou,Iglesias Villanueva
2014,14,07/12/2014,Villarreal,4-0,Real Sociedad,El Madrigal,Teixeira Vitienes
2014,14,07/12/2014,Granada,1-1,Valencia,Nuevo Los Cármenes,Hernández Hernández
2014,14,08/12/2014,Eibar,5-2,Almería,Ipurua,González González
2014,14,08/12/2014,Levante,1-1,Getafe,Ciutat de València,Melero López
2014,15,12/12/2014,Almería,1-4,Real Madrid,Estadio Mediterráneo,Álvarez Izquierdo
2014,15,13/12/2014,Getafe,0-0,Barcelona,Coliseum Alfonso Pérez,Bikandi Garrido
2014,15,13/12/2014,Valencia,3-0,Rayo Vallecano,Mestalla,Teixeira Vitienes
2014,15,13/12/2014,Córdoba,0-0,Levante,El Arcángel,Prieto Iglesias
2014,15,13/12/2014,Málaga,1-0,Celta de Vigo,La Rosaleda,Del Cerro Grande
2014,15,14/12/2014,Espanyol,2-1,Granada,Cornellá - El Prat,Jaime Latre
2014,15,14/12/2014,Sevilla,0-0,Eibar,Ramón Sánchez Pizjuán,Estrada Fernández
2014,15,14/12/2014,Atlético de Madrid,0-1,Villarreal,Vicente Calderón,Pérez Montero
2014,15,14/12/2014,Real Sociedad,1-1,Athletic Club,Anoeta,Fernández Borbalán
2014,15,15/12/2014,Deportivo de La Coruña,1-0,Elche,Riazor,Melero López
2014,16,19/12/2014,Celta de Vigo,0-1,Almería,Balaídos,Gil Manzano
2014,16,20/12/2014,Barcelona,5-0,Córdoba,Camp Nou,Mateu Lahoz
2014,16,20/12/2014,Levante,1-1,Real Sociedad,Jaime Latre,Jaime Latre
2014,16,20/12/2014,Eibar,0-1,Valencia,Ipurua,Velasco Carballo
2014,16,20/12/2014,Rayo Vallecano,1-3,Espanyol,Vallecas,Martínez Munuera
2014,16,21/12/2014,Villarreal,3-0,Deportivo de La Coruña,El Madrigal,González González
2014,16,21/12/2014,Granada,1-1,Getafe,Nuevo Los Cármenes,Teixeira Vitienes
2014,16,21/12/2014,Elche,1-2,Málaga,Martínez Valero,Undiano Mallenco
2014,16,21/12/2014,Athletic Club,1-4,Atlético de Madrid,San Mamés,Hernández Hernández
2014,16,04/02/2015,Real Madrid,2-1,Sevilla,Santiago Bernabéu,Iglesias Villanueva
2014,17,03/01/2015,Atlético de Madrid,3-1,Levante,Vicente Calderón,Álvarez Izquierdo
2014,17,03/01/2015,Sevilla,1-0,Celta de Vigo,Ramón Sánchez Pizjuán,Velasco Carballo
2014,17,03/01/2015,Elche,2-2,Villarreal,Martínez Valero,Clos Gómez
